timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
9.75,1786774897.6329,sample,"[1.63184, -1.44779, 1.89207, -2.26709, 4.65651, 0.0]","[-6.50284, -0.08421, 2.27794]",open,
9.85,1786774897.7601,sample,"[1.63186, -1.46072, 1.8921, -2.26709, 4.65652, 0.0]","[-6.50261, -0.08817, 2.28729]",open,
9.95,1786774897.8841,sample,"[1.63187, -1.50273, 1.8921, -2.26709, 4.65652, 0.0]","[-6.50178, -0.10182, 2.31738]",open,
10.05,1786774898.0129,sample,"[1.63187, -1.53733, 1.89208, -2.26709, 4.65652, 0.0]","[-6.50103, -0.114, 2.34172]",open,
10.15,1786774898.1382,sample,"[1.63186, -1.55005, 1.89206, -2.26709, 4.65652, 0.0]","[-6.50075, -0.11868, 2.35057]",open,
10.25,1786774898.2594,sample,"[1.63186, -1.55473, 1.89206, -2.26709, 4.65652, 0.0]","[-6.50064, -0.12043, 2.3538]",open,
10.35,1786774898.3812,sample,"[1.63185, -1.55645, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50059, -0.12108, 2.35499]",open,
10.45,1786774898.5101,sample,"[1.63185, -1.55708, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50058, -0.12132, 2.35542]",open,
10.55,1786774898.6324,sample,"[1.63185, -1.55731, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50057, -0.12141, 2.35558]",open,
10.65,1786774898.7521,sample,"[1.63184, -1.55739, 1.89207, -2.26709, 4.65652, 0.0]","[-6.50056, -0.12144, 2.35564]",open,
10.75,1786774898.8784,sample,"[1.63184, -1.55744, 1.90522, -2.26709, 4.65652, 0.0]","[-6.50037, -0.12457, 2.34672]",open,
10.85,1786774899.0099,sample,"[1.63184, -1.55743, 1.9458, -2.26709, 4.65651, 0.0]","[-6.49974, -0.13493, 2.31941]",open,
10.95,1786774899.1366,sample,"[1.63184, -1.55744, 1.96875, -2.26709, 4.65651, 0.0]","[-6.49935, -0.14128, 2.30416]",open,
11.05,1786774899.261,sample,"[1.63184, -1.55745, 1.97718, -2.26709, 4.65651, 0.0]","[-6.4992, -0.1437, 2.2986]",open,
11.15,1786774899.3803,sample,"[1.63184, -1.55745, 1.98029, -2.26709, 4.65651, 0.0]","[-6.49914, -0.1446, 2.29655]",open,
11.25,1786774899.5047,sample,"[1.63184, -1.55745, 1.98143, -2.26709, 4.65651, 0.0]","[-6.49912, -0.14494, 2.2958]",open,
11.35,1786774899.6271,sample,"[1.63184, -1.55745, 1.98185, -2.26709, 4.65651, 0.0]","[-6.49912, -0.14506, 2.29553]",open,
11.45,1786774899.7473,sample,"[1.63184, -1.55745, 1.982, -2.26709, 4.65651, 0.0]","[-6.49911, -0.1451, 2.29543]",open,
11.55,1786774899.8766,sample,"[1.63185, -1.5531, 1.98206, -2.26709, 4.65651, 0.0]","[-6.4992, -0.14374, 2.29249]",open,
11.65,1786774899.9949,sample,"[1.63188, -1.51809, 1.98207, -2.26709, 4.65651, 0.0]","[-6.49987, -0.13313, 2.26894]",open,
11.75,1786774900.1236,sample,"[1.63189, -1.46728, 1.98208, -2.26709, 4.65651, 0.0]","[-6.50074, -0.11921, 2.23413]",open,
11.85,1786774900.2489,sample,"[1.63188, -1.42946, 1.9821, -2.26709, 4.65651, 0.0]","[-6.50129, -0.10999, 2.20778]",open,
11.95,1786774900.3737,sample,"[1.63186, -1.41555, 1.98208, -2.26709, 4.65651, -0.0]","[-6.50147, -0.10685, 2.19801]",open,
